,subject,predicate,object
109,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
110,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
111,http://swrc.ontoware.org/ontology#Lecturer,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Article
112,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Graduate
113,http://swrc.ontoware.org/ontology#ResearchTopic,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
114,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#FullProfessor
115,http://swrc.ontoware.org/ontology#Person,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Publication
116,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Book
117,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/2002/07/owl#allValuesFrom,http://www.w3.org/2002/07/owl#Datatype
119,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#AssistantProfessor
120,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#TechnicalReport
121,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Person
122,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#Lecturer
123,http://swrc.ontoware.org/ontology#Project,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
124,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#worksAtProject,http://swrc.ontoware.org/ontology#Project
125,http://swrc.ontoware.org/ontology#Lecturer,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#TechnicalReport
128,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#isWorkedOnBy,http://swrc.ontoware.org/ontology#PhDStudent
129,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#ObjectProperty
130,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Graduate
131,http://swrc.ontoware.org/ontology#Person,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Article
132,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#isWorkedOnBy,http://swrc.ontoware.org/ontology#FullProfessor
133,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
134,http://swrc.ontoware.org/ontology#TechnicalReport,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
135,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Article
136,http://swrc.ontoware.org/ontology#Person,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
137,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#Person
139,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
140,http://swrc.ontoware.org/ontology#InProceedings,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#AssistantProfessor
141,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#Lecturer
143,http://swrc.ontoware.org/ontology#Lecturer,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Publication
144,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
145,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Proceedings
146,http://swrc.ontoware.org/ontology#InCollection,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#PhDStudent
147,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InProceedings
148,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#hasProject,http://swrc.ontoware.org/ontology#Project
149,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#FullProfessor
150,http://swrc.ontoware.org/ontology#Graduate,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Publication
151,http://swrc.ontoware.org/ontology#Person,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Misc
152,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#hasProject,http://swrc.ontoware.org/ontology#Project
153,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#head,http://swrc.ontoware.org/ontology#FullProfessor
154,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#head,http://swrc.ontoware.org/ontology#Person
155,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#publishes,http://swrc.ontoware.org/ontology#InCollection
156,http://swrc.ontoware.org/ontology#PhDStudent,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#InCollection
157,http://swrc.ontoware.org/ontology#Person,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Book
158,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#AssistantProfessor
160,http://swrc.ontoware.org/ontology#Proceedings,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#AssistantProfessor
161,http://swrc.ontoware.org/ontology#FullProfessor,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Publication
162,http://swrc.ontoware.org/ontology#ResearchGroup,http://swrc.ontoware.org/ontology#member,http://swrc.ontoware.org/ontology#Person
164,http://swrc.ontoware.org/ontology#InCollection,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Graduate
165,http://swrc.ontoware.org/ontology#Article,http://swrc.ontoware.org/ontology#isAbout,http://swrc.ontoware.org/ontology#ResearchTopic
166,http://swrc.ontoware.org/ontology#InProceedings,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
167,http://swrc.ontoware.org/ontology#Misc,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Lecturer
168,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#FullProfessor
169,http://swrc.ontoware.org/ontology#ResearchGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
171,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#Person
172,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Restriction
173,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#carriedOutBy,http://swrc.ontoware.org/ontology#ResearchGroup
174,http://swrc.ontoware.org/ontology#Graduate,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
175,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#ObjectProperty
177,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#isWorkedOnBy,http://swrc.ontoware.org/ontology#Person
178,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#Class
179,http://swrc.ontoware.org/ontology#Book,http://swrc.ontoware.org/ontology#editor,http://swrc.ontoware.org/ontology#AssistantProfessor
180,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#Lecturer
181,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#InCollection
182,http://swrc.ontoware.org/ontology#Publication,http://swrc.ontoware.org/ontology#author,http://swrc.ontoware.org/ontology#AssistantProfessor
183,http://swrc.ontoware.org/ontology#Project,http://swrc.ontoware.org/ontology#projectInfo,http://swrc.ontoware.org/ontology#Publication
184,http://swrc.ontoware.org/ontology#Lecturer,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Misc
185,http://swrc.ontoware.org/ontology#AssistantProfessor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
186,http://swrc.ontoware.org/ontology#ResearchTopic,http://swrc.ontoware.org/ontology#isWorkedOnBy,http://swrc.ontoware.org/ontology#Graduate
187,http://swrc.ontoware.org/ontology#Graduate,http://swrc.ontoware.org/ontology#publication,http://swrc.ontoware.org/ontology#Misc
